Landmark,Frame,X,Y
13,18.0,386,285
13,19.0,388,284
13,20.0,387,284
13,21.0,387,283
13,22.0,387,283
13,23.0,387,284
13,24.0,386,284
13,25.0,383,284
13,26.0,384,284
13,27.0,382,285
13,28.0,382,285
13,29.0,383,287
312,1.0,396,289
312,2.0,395,291
312,3.0,394,288
312,4.0,394,288
312,5.0,394,288
312,6.0,394,288
312,7.0,394,286
312,8.0,395,289
312,9.0,395,289
312,10.0,395,289
312,11.0,396,291
312,12.0,396,291
312,13.0,397,289
312,14.0,397,289
312,15.0,398,287
312,16.0,397,287
312,17.0,398,285
312,18.0,398,285
312,19.0,399,283
312,20.0,399,283
312,21.0,399,283
312,22.0,399,283
312,23.0,398,283
312,24.0,398,283
312,25.0,394,284
312,26.0,395,283
312,27.0,393,285
312,28.0,393,284
312,29.0,394,286
311,1.0,405,289
311,2.0,405,291
311,3.0,403,288
311,4.0,404,288
311,5.0,404,288
311,6.0,404,288
311,7.0,404,287
311,8.0,404,289
311,9.0,404,289
311,10.0,404,289
311,11.0,405,291
311,12.0,406,291
311,13.0,407,289
311,14.0,406,289
311,15.0,407,287
311,16.0,406,287
311,17.0,408,285
311,18.0,407,285
311,19.0,408,283
311,20.0,408,283
311,21.0,408,283
311,22.0,408,283
311,23.0,408,284
311,24.0,407,283
311,25.0,404,284
311,26.0,404,283
311,27.0,403,285
311,28.0,403,284
311,29.0,403,286
310,1.0,412,290
310,2.0,412,292
310,3.0,411,289
310,4.0,411,289
310,5.0,411,289
310,6.0,411,289
310,7.0,411,288
310,8.0,411,291
310,9.0,412,291
310,10.0,412,290
310,11.0,413,292
310,12.0,413,292
310,13.0,415,291
310,14.0,414,290
310,15.0,415,288
310,16.0,414,289
310,17.0,415,286
310,18.0,414,286
310,19.0,416,284
310,20.0,415,285
310,21.0,415,285
310,22.0,416,285
310,23.0,415,285
310,24.0,415,285
310,25.0,412,285
310,26.0,412,285
310,27.0,411,286
310,28.0,411,285
310,29.0,411,287
415,1.0,419,292
415,2.0,418,294
415,3.0,418,291
